id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
83,210470,2104701,Graça Aranha,21012,Presidente Dutra,2102,Leste,"[-44.33437,-5.41047]",-44.3343,-5.4104
84,210480,2104800,Grajaú,21004,Barra do Corda,2103,Sul,"[-46.13938,-5.81947]",-46.1393,-5.8194
85,210490,2104909,Guimarães,21011,Pinheiro,2101,Norte,"[-44.60137,-2.13345]",-44.6013,-2.1334
86,210500,2105005,Humberto de Campos,21013,Rosário,2101,Norte,"[-43.46136,-2.59845]",-43.4613,-2.5984
87,210510,2105104,Icatu,21013,Rosário,2101,Norte,"[-44.06637,-2.77645]",-44.0663,-2.7764
88,210515,2105153,Igarapé do Meio,21014,Santa Inês,2101,Norte,"[-45.22738,-3.66146]",-45.2273,-3.6614
89,210520,2105203,Igarapé Grande,21010,Pedreiras,2102,Leste,"[-44.85337,-4.58546]",-44.8533,-4.5854
90,210530,2105302,Imperatriz,21008,Imperatriz,2103,Sul,"[-47.47639,-5.52647]",-47.4763,-5.5264
91,210535,2105351,Itaipava do Grajaú,21004,Barra do Corda,2103,Sul,"[-45.79138,-5.14547]",-45.7913,-5.1454
92,210540,2105401,Itapecuru Mirim,21009,Itapecuru-Mirim,2101,Norte,"[-44.35937,-3.39346]",-44.3593,-3.3934
93,210542,2105427,Itinga do Maranhão,21001,Açailândia,2103,Sul,"[-47.52639,-4.45046]",-47.5263,-4.4504
94,210545,2105450,Jatobá,21015,São João dos Patos,2103,Leste,"[-44.22337,-5.81747]",-44.2233,-5.8174
95,210547,2105476,Jenipapo dos Vieiras,21004,Barra do Corda,2103,Sul,"[-45.63638,-5.37147]",-45.6363,-5.3714
96,210550,2105500,João Lisboa,21008,Imperatriz,2103,Sul,"[-47.40139,-5.44847]",-47.4013,-5.4484
